"time (JD)" Vmag Verr
2458651.47457 15.614 0.017
2458651.47532 15.630999999999998 0.015
2458651.47608 15.609000000000002 0.017
2458651.47689 15.63 0.013999999999999999
2458651.47764 15.619000000000002 0.016
2458651.4783900003 15.597999999999999 0.016
2458651.47914 15.585 0.015
2458651.47993 15.600999999999999 0.016
2458651.48068 15.595999999999998 0.013999999999999999
2458651.48145 15.595 0.016
2458651.4822 15.581 0.013999999999999999
2458651.483 15.642000000000001 0.018000000000000002
2458651.4837599997 15.626 0.018000000000000002
2458651.48451 15.626 0.015
2458651.48527 15.615 0.013999999999999999
2458651.48606 15.637 0.015
2458651.48682 15.618 0.015
2458651.48757 15.614 0.013999999999999999
2458651.48832 15.607999999999999 0.017
2458651.48911 15.645999999999999 0.015
2458651.4898599996 15.628 0.017
2458651.4906099997 15.645999999999999 0.015
2458651.49138 15.622 0.015
2458651.49218 15.662 0.016
2458651.4929299997 15.610999999999999 0.015
2458651.49368 15.594000000000001 0.015
2458651.49444 15.607999999999999 0.013999999999999999
2458651.49523 15.565 0.015
2458651.496 15.645999999999999 0.015
2458651.49675 15.599 0.015
2458651.49749 15.612 0.015
2458651.4983 15.635 0.013999999999999999
2458651.49905 15.633 0.015
2458651.4998 15.617 0.013000000000000001
2458651.50057 15.603 0.013999999999999999
2458651.50137 15.604000000000001 0.013999999999999999
2458651.50212 15.637 0.016
2458651.50288 15.658 0.013999999999999999
2458651.5036299997 15.642999999999999 0.013999999999999999
2458651.50441 15.655 0.013999999999999999
2458651.5051700003 15.632 0.013999999999999999
2458651.50593 15.610999999999999 0.013000000000000001
2458651.50668 15.642000000000001 0.013999999999999999
2458651.50748 15.613 0.013999999999999999
2458651.50823 15.648 0.013999999999999999
2458651.50899 15.717 0.016
2458651.50975 15.675 0.017
2458651.51054 15.689 0.02
2458651.5113 15.694 0.02
2458651.51205 15.682 0.021
2458651.5128099998 15.669 0.021
2458651.51361 15.667 0.018000000000000002
2458651.51436 15.682 0.017
2458651.5151299997 15.679 0.013999999999999999
2458651.5158700002 15.644 0.015
2458651.5166700003 15.658 0.015
2458651.51743 15.674000000000001 0.013999999999999999
2458651.51818 15.657 0.015
2458651.5189400003 15.665 0.013999999999999999
2458651.51973 15.662 0.015
2458651.52049 15.658 0.013999999999999999
2458651.522 15.633 0.013000000000000001
2458651.5227900003 15.674000000000001 0.017
2458651.52354 15.645999999999999 0.013999999999999999
2458651.52431 15.64 0.013999999999999999
2458651.52506 15.627 0.013999999999999999
2458651.52586 15.639000000000001 0.013000000000000001
2458651.52662 15.607000000000001 0.013999999999999999
2458651.5273700003 15.628 0.013999999999999999
2458651.52813 15.616 0.016
2458651.52892 15.655 0.015
2458651.52968 15.648 0.016
2458651.5304400004 15.668 0.015
2458651.53119 15.651 0.013999999999999999
2458651.53198 15.649000000000001 0.013999999999999999
2458651.53273 15.630999999999998 0.013000000000000001
2458651.5334799998 15.654000000000002 0.015
2458651.53425 15.628 0.013999999999999999
2458651.53505 15.625 0.017
2458651.5358 15.639000000000001 0.013999999999999999
2458651.53656 15.658 0.015
2458651.53731 15.628 0.015
2458651.5381099996 15.675 0.013999999999999999
2458651.5388700003 15.655999999999999 0.015
2458651.53962 15.651 0.013999999999999999
2458651.54037 15.640999999999998 0.024
2458651.5411799997 15.644 0.022000000000000002
2458651.54193 15.697000000000001 0.027000000000000003
2458651.54269 15.658 0.022000000000000002
2458651.54345 15.652999999999999 0.023
2458651.54422 15.64 0.024
2458651.5449900003 15.618 0.023
2458651.54574 15.635 0.024
2458651.54649 15.629000000000001 0.022000000000000002
2458651.54729 15.644 0.024
2458651.54806 15.627 0.022000000000000002
2458651.54881 15.592 0.023
2458651.5495599997 15.624 0.023
2458651.5503599998 15.649000000000001 0.023
2458651.55111 15.638 0.024
2458651.55186 15.658 0.024
2458651.55263 15.655 0.024
2458651.55343 15.675 0.022000000000000002
2458651.55418 15.718 0.026000000000000002
2458651.55493 15.719000000000001 0.024
2458651.5556799998 15.675999999999998 0.025
2458651.55647 15.635 0.023
2458651.5572200003 15.655 0.024
2458651.55799 15.64 0.023
2458651.5587400002 15.626 0.022000000000000002
2458651.5595400003 15.630999999999998 0.024
2458651.56029 15.613 0.024
2458651.56104 15.649000000000001 0.025
2458651.56181 15.7 0.025
2458651.5626 15.693 0.028999999999999998
2458651.56336 15.637 0.025
2458651.5641099997 15.645999999999999 0.025
2458651.56487 15.651 0.026000000000000002
2458653.44995 15.607000000000001 0.018000000000000002
2458653.4507400002 15.600999999999999 0.017
2458653.45159 15.6 0.021
2458653.45236 15.625 0.018000000000000002
2458653.45315 15.624 0.019
2458653.45392 15.652999999999999 0.017
2458653.4547599996 15.652999999999999 0.018000000000000002
2458653.45553 15.663 0.017
2458653.45632 15.675999999999998 0.017
2458653.45708 15.673 0.018000000000000002
2458653.45791 15.657 0.018000000000000002
2458653.45869 15.662 0.019
2458653.4594799997 15.639000000000001 0.018000000000000002
2458653.46025 15.616 0.018000000000000002
2458653.46111 15.655999999999999 0.019
2458653.46188 15.634 0.019
2458653.4626599997 15.683 0.017
2458653.46343 15.628 0.016
2458653.46428 15.628 0.017
2458653.46506 15.61 0.016
2458653.46583 15.629000000000001 0.017
2458653.46661 15.644 0.017
2458653.46748 15.635 0.016
2458653.4682400003 15.651 0.016
2458653.46902 15.610999999999999 0.017
2458653.4698099997 15.652999999999999 0.016
2458653.4714099998 15.648 0.016
2458653.47219 15.685 0.016
2458653.47297 15.647 0.016
2458653.47381 15.669 0.017
2458653.47459 15.664000000000001 0.015
2458653.4753799997 15.652000000000001 0.015
2458653.47616 15.65 0.016
2458653.477 15.652000000000001 0.016
2458653.47778 15.618 0.015
2458653.47855 15.66 0.016
2458653.47934 15.687000000000001 0.02
2458653.48017 15.638 0.013999999999999999
2458653.48096 15.615 0.018000000000000002
2458653.48174 15.627 0.015
2458653.48251 15.669 0.016
2458653.48336 15.66 0.017
2458653.4841299998 15.649000000000001 0.015
2458653.4849099996 15.651 0.016
2458653.48568 15.655 0.013999999999999999
2458653.48654 15.669 0.016
2458653.4873 15.674000000000001 0.015
2458653.48809 15.638 0.017
2458653.48887 15.667 0.015
2458653.4897 15.672 0.017
2458653.49049 15.672 0.015
2458653.49126 15.667 0.015
2458653.49205 15.651 0.015
2458653.49287 15.690999999999999 0.015
2458653.49365 15.662 0.016
2458653.49443 15.659 0.013999999999999999
2458653.49521 15.681 0.015
2458653.49605 15.686 0.015
2458653.49683 15.681 0.016
2458653.49762 15.677999999999999 0.013999999999999999
2458653.4983900003 15.669 0.016
2458653.4992400003 15.655 0.015
2458653.50002 15.681 0.017
2458653.5008099996 15.655 0.013999999999999999
2458653.50159 15.682 0.015
2458653.5024099997 15.658 0.015
2458653.50318 15.692 0.015
2458653.50396 15.664000000000001 0.016
2458653.5047299997 15.683 0.021
2458653.50559 15.665999999999999 0.023
2458653.5071400004 15.668 0.022000000000000002
2458653.5079200002 15.669 0.019
2458653.50889 15.663 0.015
2458653.50966 15.675999999999998 0.015
2458653.51131 15.677999999999999 0.015
2458653.5121299997 15.665 0.016
2458653.51292 15.658 0.013999999999999999
2458653.5137 15.679 0.015
2458653.51448 15.671 0.024
2458653.51528 15.69 0.015
2458653.51603 15.677 0.013999999999999999
2458653.5167799997 15.671 0.013999999999999999
2458653.51753 15.636 0.017
2458653.51833 15.663 0.013999999999999999
2458653.51909 15.675999999999998 0.016
2458653.51985 15.697000000000001 0.013000000000000001
2458653.5206 15.636 0.016
2458653.5213900004 15.659 0.044000000000000004
2458653.52598 15.692 0.046
2458653.52675 15.707 0.024
2458653.52755 15.665999999999999 0.023
2458653.52831 15.67 0.017
2458653.5290599996 15.692 0.015
2458653.52983 15.628 0.013999999999999999
2458653.53064 15.665 0.013999999999999999
2458653.5321400003 15.644 0.013999999999999999
2458653.5328900004 15.642000000000001 0.015
2458653.53369 15.607999999999999 0.013999999999999999
2458653.53444 15.634 0.016
2458653.5352 15.610999999999999 0.021
2458653.53596 15.651 0.021
2458653.53676 15.652000000000001 0.022000000000000002
2458653.5375099997 15.618 0.021
2458653.53826 15.607000000000001 0.026000000000000002
2458653.53903 15.6 0.02
2458653.53983 15.616 0.025
2458653.54058 15.620999999999999 0.022000000000000002
2458653.54133 15.630999999999998 0.022000000000000002
2458653.54208 15.633 0.021
2458653.54288 15.640999999999998 0.021
2458653.5436299997 15.633 0.023
2458653.54439 15.648 0.022000000000000002
2458653.54514 15.651 0.027000000000000003
2458653.54595 15.652999999999999 0.022000000000000002
2458653.5467 15.639000000000001 0.023
2458653.54745 15.655999999999999 0.021
2458653.5482099997 15.599 0.02
2458653.54899 15.616 0.021
2458653.54975 15.617 0.021
2458653.55051 15.635 0.023
2458653.5512599996 15.591 0.021
2458653.5520599997 15.610999999999999 0.025
2458653.55281 15.618 0.027999999999999997
2458653.55356 15.592 0.024
2458653.5543299997 15.610999999999999 0.023
2458653.55512 15.629000000000001 0.023
2458653.55588 15.622 0.025
2458653.55663 15.634 0.024
2458653.55738 15.642000000000001 0.026000000000000002
2458653.5581900002 15.64 0.021
2458653.5597 15.667 0.023
2458653.56047 15.626 0.023
2458653.56126 15.599 0.023
2458653.56201 15.638 0.022000000000000002
2458653.56277 15.600999999999999 0.024
2458653.56352 15.593 0.023
2458653.56432 15.581 0.026000000000000002
2458653.56507 15.632 0.024
2458655.717210648 15.289000000000001 0.027000000000000003
2458655.718761574 15.3 0.027000000000000003
2458655.7203125 15.322000000000001 0.027000000000000003
2458655.721863426 15.319 0.027999999999999997
2458655.7234143517 15.332 0.027999999999999997
2458655.7249652776 15.319 0.027000000000000003
2458655.726527778 15.297 0.026000000000000002
